,ZIPcode,TaxRateArea_CITY,AIN,RollYear,TaxRateArea,AssessorID,PropertyLocation,PropertyType,PropertyUseCode,GeneralUseType,SpecificUseType,SpecificUseDetail1,SpecificUseDetail2,totBuildingDataLines,YearBuilt,EffectiveYearBuilt,SQFTmain,Bedrooms,Bathrooms,Units,RecordingDate,LandValue,LandBaseYear,ImprovementValue,ImpBaseYear,TotalLandImpValue,HomeownersExemption,RealEstateExemption,FixtureValue,FixtureExemption,PersonalPropertyValue,PersonalPropertyExemption,isTaxableParcel?,TotalValue,TotalExemption,netTaxableValue,SpecialParcelClassification,AdministrativeRegion,Cluster,ParcelBoundaryDescription,HouseNo,HouseFraction,StreetDirection,StreetName,UnitNo,City,ZIPcode5,rowID,CENTER_LAT,CENTER_LON,Location 1
347,91501-1663,BURBANK    ,5608035030,2017,2530,5608-035-030,700 VIEW DR  BURBANK CA  91501,SFR,101,Residential,Single Family Residence, ,Pool,1,1941,1951,2419,3,3,1,20051215,830130,2006,213121,2006,1043251,0,0,0,0,0,0,Y,1043251,0,1043251, ,3,3181,"*TR=PARCEL MAP AS PER BK 31 PG 39 OF P M*(EX LAND DESC IN DOC 418,710903) *POR OF LOT    1",700, , ,VIEW DR, ,BURBANK CA,91501,20175600000000.0,34.18913291,-118.28916570000001,"(34.18913291, -118.28916565)"
363,91501-1662,BURBANK    ,5608036016,2017,2530,5608-036-016,703 VIEW DR  BURBANK CA  91501,SFR,100,Residential,Single Family Residence, , ,1,1941,1941,943,2,1,1,20151110,312268,2005,48036,2005,360304,0,0,0,0,0,0,Y,360304,0,360304, ,3,3181,TRACT # 3545 LOT COM AT MOST N COR OF LOT 41 TH S 25¢45' E 65.59 FT TH SW ON NW LINE OF LAND DESC IN DOC # 694 3-11-52 TO SW LINE OF SD LOT TH NW TO NW LINE OF SD LOT TH NE THEREON 150 FT TO BEG PART OF LOT   41,703, , ,VIEW DR, ,BURBANK CA,91501,20175600000000.0,34.18878585,-118.289608,"(34.18878585, -118.28960803)"
366,91501-1613,BURBANK    ,5608036019,2017,2530,5608-036-019,1115 E ELMWOOD AVE  BURBANK CA  91501,SFR,101,Residential,Single Family Residence, ,Pool,1,1941,1960,1521,2,1,1,20161209,728000,2017,182000,2017,910000,0,0,0,0,0,0,Y,910000,0,910000, ,3,3181,TRACT # 3545 LOT COM N 62¢43'10'' E 65 FT FROM MOST S COR OF LOT 41 TH N 62¢43'10'' E 65 FT TH N 25¢45' W 157 FT TH S 62¢35' 20'' W TO A PT N 23¢31'30'' W FROM BEG TH SE TO BEG PART OF LOT   41,1115, ,E,ELMWOOD AVE, ,BURBANK CA,91501,20175600000000.0,34.18840598,-118.28932169999999,"(34.18840598, -118.28932165)"
449,91501-1614,BURBANK    ,5618005005,2017,2530,5618-005-005,1160 E ELMWOOD AVE  BURBANK CA  91501,SFR,100,Residential,Single Family Residence, , ,1,1941,1948,1580,2,1,1,20021119,550709,2003,159979,2003,710688,0,0,0,0,0,0,Y,710688,0,710688, ,3,3181,TRACT # 7586 LOT    5,1160, ,E,ELMWOOD AVE, ,BURBANK CA,91501,20175600000000.0,34.1881954,-118.287558,"(34.18819540, -118.28755798)"
451,91501-1610,BURBANK    ,5618005016,2017,2530,5618-005-016,818 S SUNSET CANYON DR  BURBANK CA  91501,SFR,100,Residential,Single Family Residence, , ,1,1941,1968,2592,4,4,1,20070829,836200,2008,208800,2008,1045000,0,0,0,0,0,0,Y,1045000,0,1045000, ,3,3181,TRACT # 3545 NW 60 FT MEASURED ON SW LINE OF LOT   33,818, ,S,SUNSET CANYON DR, ,BURBANK CA,91501,20175600000000.0,34.18782472,-118.28887560000001,"(34.18782472, -118.28887560)"
459,91501-1631,BURBANK    ,5618006016,2017,2530,5618-006-016,925 SHERLOCK DR  BURBANK CA  91501,SFR,101,Residential,Single Family Residence, ,Pool,1,1941,1976,2786,3,3,1,20020124,281362,1997,279163,1997,560525,7000,0,0,0,0,0,Y,560525,7000,553525, ,3,3181,TRACT # 5607 VAC ST ADJ ON NE AND LOT    7,925, , ,SHERLOCK DR, ,BURBANK CA,91501,20175600000000.0,34.18764647,-118.28689070000001,"(34.18764647, -118.28689068)"
464,91501-1631,BURBANK    ,5618007003,2017,2530,5618-007-003,937 SHERLOCK DR  BURBANK CA  91501,SFR,101,Residential,Single Family Residence, ,Pool,1,1941,1944,2921,4,3,1,20071130,1165724,2008,164104,2008,1329828,7000,0,0,0,0,0,Y,1329828,7000,1322828, ,3,3181,TRACT # 3691 VAC ALLEY ADJ ON NW AND LOT COM AT INTERSECTION OF NW LINE OF LOT 8 WITH SW LINE OF SHERLOCK DR TH S 31¢25'30'' W 232.92 FT TH S 63¢34'20'' E 70.29 FT TH N 31¢25'30'' E TO SD SW LINE TH NW THEREON TO BEG PART OF LOT    8,937, , ,SHERLOCK DR, ,BURBANK CA,91501,20175600000000.0,34.18743915,-118.2864508,"(34.18743915, -118.28645078)"
469,91501-1633,BURBANK    ,5618007025,2017,2530,5618-007-025,1021 SHERLOCK DR  BURBANK CA  91501,SFR,100,Residential,Single Family Residence, , ,1,1941,1974,1976,3,2,1,20140731,737315,2015,184328,2015,921643,0,0,0,0,0,0,Y,921643,0,921643, ,3,3181,TR=3691 FOR DESC SEE ASSESSOR'S MAPS POR OF LOT 10,1021, , ,SHERLOCK DR, ,BURBANK CA,91501,20175600000000.0,34.18680467,-118.2854091,"(34.18680467, -118.28540908)"
522,91501-1635,BURBANK    ,5618016001,2017,2530,5618-016-001,1617 THURBER PL  BURBANK CA  91501,SFR,101,Residential,Single Family Residence, ,Pool,1,1941,1943,2395,2,2,1,20160831,720000,2017,480000,2017,1200000,0,0,0,0,0,0,Y,1200000,0,1200000, ,3,3181,TRACT # 11822 LOT    1,1617, , ,THURBER PL, ,BURBANK CA,91501,20175600000000.0,34.18605233,-118.2837753,"(34.18605233, -118.28377527)"
525,91501-1635,BURBANK    ,5618016004,2017,2530,5618-016-004,1631 THURBER PL  BURBANK CA  91501,SFR,100,Residential,Single Family Residence, , ,1,1941,1941,1795,3,2,1,20070604,42853,1975,60723,1975,103576,7000,0,0,0,0,0,Y,103576,7000,96576, ,3,3181,TRACT # 11822 LOT    4,1631, , ,THURBER PL, ,BURBANK CA,91501,20175600000000.0,34.18644326,-118.28347439999999,"(34.18644326, -118.28347436)"
